# Constructed from biom file
#OTU ID	ERR1883210	ERR1883212	ERR1883214	ERR1883247	ERR1883248	ERR1883260	ERR1883294	ERR1883315
Unassigned;__;__;__;__;__	4.0	127.0	5.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;__;__;__;__;__	47.0	79.0	54.0	33.0	41.0	26.0	8.0	5.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.0	201.0	0.0	5.0	0.0	17.0	41.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	0.0	31.0	0.0	0.0	0.0	8.0	35.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Alloscardovia	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	148.0	1726.0	0.0	136.0	277.0	821.0	5.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__	18.0	495.0	0.0	122.0	22.0	196.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	42.0	618.0	0.0	95.0	3.0	250.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	47.0	303.0	0.0	128.0	69.0	209.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	42793.0	12412.0	53.0	11214.0	20894.0	26025.0	17.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	1958.0	284.0	0.0	1174.0	2629.0	3469.0	3.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
